Race,All Candidates,Amount
,,Raised
Senate,Patty Murray (D)*,"$10,647,786 "
,Chris Vance (R),"$200,534 "
,Ted Cummings (I),"$3,076 "
,Phil Cornell (D),"$1,754 "
,Sam Wright (3),$0 
,Scott Nazarino (R),$0 
,Alex Tsimerman (I),$0 
,Thor Amundson (D),$0 
,Zach Haller (I),$0 
,Mike Luke (L),$0 
,Mike the Mover (R),$0 
,Minh Tran (I),$0 
,Mohammad H Said (D),$0 
,Pano Churchill (I),$0 
,Chuck Jackson (I),$0 
,Donna Lands (3),$0 
,Eric John Makus (R),$0 
,Jeremy Teuton (I),$0 
District 01,Suzan DelBene (D)*,"$1,180,355 "
,Elizabeth Scott (R),"$123,289 "
,Jacob Pernula (D),$0 
,John Orlinski (R),$0 
,Scott Stafne (L),$0 
,Alex Storms (I),$0 
District 02,Rick Larsen (D)*,"$499,883 "
,Brian Luke (L),$0 
,Kari Ilonummi (I),$0 
,Marc Hennemann (R),$0 
,Mike Lapointe (D),$0 
District 03,Jaime Herrera Beutler (R)*,"$718,284 "
,David McDevitt (D),"$104,847 "
,Angie Marx (D),"$8,615 "
,David Steenson (R),$0 
,Jennifer Brockmoller (R),$0 
,Jim Moeller (D),$0 
,Kathleen Arthur (D),$0 
,L.A. Worthington (I),$0 
District 04,Daniel Milton Newhouse (R)*,"$623,958 "
,Doug McKinley (D),$0 
,Glenn M. Jakeman (R),$0 
,John Malan (D),$0 
District 05,Cathy McMorris Rodgers (R)*,"$1,866,009 "
,Joe Pakootas (D),"$95,136 "
,David Kay (D),"$26,100 "
,Tom Horne (R),"$2,414 "
,Krystol McGee (L),$0 
District 06,Derek Kilmer (D)*,"$1,293,769 "
,Michael Coverdale (I),$0 
,Paul L. Nuchims (D),$0 
,Stephan Brodhead (R),$0 
,Todd Anthony Bloom (R),$0 
,Tyler Myles Vega (3),$0 
District 07,Brady Walkinshaw (D),"$442,703 "
,Pramila Jayapal (D),"$437,586 "
,Joe McDermott (D),"$235,996 "
,Leslie Regier (I),$0 
,Scott Sutherland (R),$0 
,Carl Cooper (I),$0 
,Jeff Stilwell (D),$0 
,Arun Jhaveri (D),$0 
District 08,Dave Reichert (R)*,"$746,910 "
,Jason Ritchie (D),"$49,598 "
,Keith Arnold (I),$0 
,Margaret M. Walsh (I),$0 
,Santiago Ramos (D),$0 
,Tony Ventrella (D),$0 
,Alida Skold (D),$0 
District 09,Adam Smith (D)*,"$398,225 "
,Daniel Smith (D),$0 
,Jeary Flener (I),$0 
,Jesse Wineberry (D),$0 
District 10,Dennis Heck (D)*,"$883,738 "
,Jim Postma (R),$0 
,Richard Boyce (I),$0 
